Cabo 750V;Preco 750V;Atualizado 750V;Cabo 1kV;Preco 1kV;Atualizado 1kV
Cabo Flex 750V 2,5mm;R$ 2,01;;Cabo 1KV HEPR 2,5mm;R$ 2,76;
Cabo Flex 750V 4mm;R$ 3,36;;Cabo 1KV HEPR 4mm;R$ 4,18;
Cabo Flex 750V 6mm;R$ 5,02;;Cabo 1KV HEPR 6mm;R$ 5,94;
Cabo Flex 750V 10 mm;R$ 8,91;;Cabo 1KV HEPR 10mm;R$ 9,87;
Cabo Flex 750V 16 mm;R$ 14,02;;Cabo 1KV HEPR 16mm;R$ 15,37;
Cabo Flex 750V 25 mm;R$ 24,37;;Cabo 1KV HEPR 25mm;R$ 23,90;
Cabo Flex 750V 35 mm;R$ 33,50;;Cabo 1KV HEPR 35mm;R$ 33,50;
Cabo Flex 750V 50 mm;R$ 50,00;;Cabo 1KV HEPR 50mm;R$ 47,48;
Cabo Flex 750V 70 mm;R$ 70,45;;Cabo 1KV HEPR 70mm;R$ 67,86;
Cabo Flex 750V 95 mm;R$ 93,34;;Cabo 1KV HEPR 95mm;R$ 89,36;
Cabo Flex 750V 120 mm;R$ 112,44;;Cabo 1KV HEPR 120mm;R$ 112,44;
Cabo Flex 750V 150 mm;R$ 146,63;;Cabo 1KV HEPR 150mm;R$ 140,31;
Cabo Flex 750V 185 mm;R$ 176,97;;Cabo 1KV HEPR 185mm;R$ 168,98;
Cabo Flex 750V 240 mm;R$ 238,81;;Cabo 1KV HEPR 240mm;R$ 228,81;
Cabo Flex 750V 300 mm;R$ 299,00;13/08/2025;Cabo 1KV HEPR 300mm;R$ 300,00;
Cabo Flex 750V 400 mm;R$ 400,00;;Cabo 1KV HEPR 400mm;R$ 0,00;
Cabo Flex 750V 500 mm;R$ 0,00;;Cabo 1KV HEPR 500mm;R$ 0,00;
