Material;Preco;Atualizado
Disjuntor DIN 2P 10A curva C;R$ 34,00;
Disjuntor DIN 2P 20A curva C;R$ 35,00;
Disjuntor DIN 2P 25A curva C;R$ 36,50;
Disjuntor DIN 2P 40A curva C;R$ 41,00;
Disjuntor DIN 2P 50A curva C;R$ 51,00;
Disjuntor DIN 2P 63A curva C;R$ 61,00;
Disjuntor DIN 2P 70A curva C;R$ 71,00;
Disjuntor DIN 2P 80A curva C;R$ 81,00;
Disjuntor DIN 2P 90A curva C;R$ 91,00;
Disjuntor DIN 2P 100A curva C;R$ 101,00;
Disjuntor DIN 2P 125A curva C;R$ 111,00;
Disjuntor DIN 3P 10A curva C;R$ 48,00;
Disjuntor DIN 3P 20A curva C;R$ 50,00;
Disjuntor DIN 3P 25A curva C;R$ 55,00;
Disjuntor DIN 3P 40A curva C;R$ 60,00;
Disjuntor DIN 3P 50A curva C;R$ 70,00;
Disjuntor DIN 3P 63A curva C;R$ 75,00;
Disjuntor DIN 3P 70A curva C;R$ 100,00;
Disjuntor DIN 3P 80A curva C;R$ 125,00;
Disjuntor DIN 3P 90A curva C;R$ 150,00;
Disjuntor DIN 3P 100A curva C;R$ 200,00;
Disjuntor DIN 3P 125A curva C;R$ 243,00;
